ITEM NAME,CATEGORY
 KR101 Small,ACCESS
Bolt electric lock  GAL-607A  ,ACCESS
Bolt Electronic lock  ,ACCESS
Bolt lock big,ACCESS
Break Glass BLUE,ACCESS
Break Glass Green Elock,ACCESS
C3-300 with psu  ,ACCESS
Digital access keypad BLACK,ACCESS
Door closer 60kg  small  ,ACCESS
Door closer 80kg big  ,ACCESS
DOOR CLOSURE ASSA ABLOY,ACCESS
Door Closure Operating System,Access
EFACE 10,ACCESS
Electric lock,ACCESS
Electric lock  GAL-607A  ,ACCESS
F18 finger print reader,ACCESS
F19 finger print reader,ACCESS
FR1200  ZK-techo,ACCESS
Guard Tour Point White,ACCESS
Iclock 360  ,ACCESS
Iclock 660  ,ACCESS
Iclock 680,ACCESS
I-CLOCK 680 reader,ACCESS
INBIO 460 control,ACCESS
INTER LOCKING  MODULE,ACCESS
Korta  access KEYPAD,ACCESS
KR100  big  ,ACCESS
KR102  ,ACCESS
KR200  big curve  ,ACCESS
KR201 small curve  ,ACCESS
MA300 + ID  ,ACCESS
Maglock  560kg double with relay & LED,ACCESS
Maglock 180kgs  ,ACCESS
Maglock 280kgs NO relay  ,ACCESS
maglock 280kgs No Relay/LED,ACCESS
Maglock 280kgs with relay & LED  ,ACCESS
Maglock 280kgs with relay & LED-No2,ACCESS
Maglock 350kgs NO relay  ,ACCESS
Maglock 350kgs with relay &LED   ,ACCESS
Maglock 500kg with relay &LED  ,ACCESS
Maglock 500kgs  ,ACCESS
Maglock 560kgs double maglock  ,ACCESS
Metallic Access keypad SLIM,ACCESS
Metallic Access Reader,ACCESS
metallic access Reader WATERPROOF ,ACCESS
MULTI BIO 700  ,ACCESS
NO TOUCH button Big  ,ACCESS
Override keyswitch LED Unique key,ACCESS
PSU Access 3amps -No2,ACCESS
Reader  hikvision Biometric ,ACCESS
Reader  IFACE 702  ,ACCESS
Reader  Speedface V4L ,ACCESS
Reader  Speedface V5L ,ACCESS
Reader F131,ACCESS
Reader F18 Reader MIFI,ACCESS
Reader F18 ZK -Techo ADMS,ACCESS
Reader F18 ZK-techo No-2,ACCESS
Reader F20  ,ACCESS
Reader F21 ,ACCESS
Reader F211 time attendance & access reader   ,ACCESS
Reader F22 ZK-techo,ACCESS
Reader F8,ACCESS
Reader FR1200 slave,ACCESS
Reader INBIO 460 with psu  ,ACCESS
Reader INBIO 460 ZK-techo,ACCESS
Reader K40 ZK-techo,ACCESS
Reader TF1700 finger print reader,ACCESS
Reader TF1700 ZK-techo,ACCESS
Reader TX 628   ,ACCESS
Reader X7 / X6 ,ACCESS
Reader ZK9500 USB,ACCESS
RFID access Reader,ACCESS
S922 PORTABLE,ACCESS
Shallow Patrice Plastic,ACCESS
strike lock  GAL-603D  NC  ,ACCESS
